"站点地址","站点名称","站点编号","站点加盟日期","银行业务签约日期","签约银行","站点卡数","站点余额","卡均余额"
"河北省衡水市饶阳县大官亭乡西歧河村","饶阳县官亭镇西岐河村","13110076","2013-11-05 15:20:03","2013-11-05 15:20:03","中国银行","229","1870000.00","8165.938865"
"河北省衡水市冀州市码头李镇东羡家庄村","码头李镇东羡村","13110077","2013-11-06 10:41:49","2013-11-06 10:41:49","中国银行","270","700000.00","2592.592593"
"河北省衡水市饶阳县大官亭乡李岗村","饶阳县官亭镇李岗村","13110080","2013-11-06 14:22:51","2013-11-06 14:22:51","中国银行","667","3600000.00","5397.301349"
"河北省衡水市饶阳县大尹村镇大尹村","饶阳县大尹村镇大尹村","13110081","2013-11-06 16:36:05","2013-11-06 16:36:05","中国银行","1980","14680000.00","7414.141414"
"河北省衡水市枣强县肖张镇程杨村","肖张镇程杨村","13110085","2013-11-07 14:01:13","2013-11-07 14:01:13","中国银行","681","5700000.00","8370.044053"
"河北省衡水市景县北留智镇第三前排村","景县北留智镇第三前排村","13110086","2013-11-09 08:36:25","2013-11-09 08:36:25","中国银行","188","2390000.00","12712.765957"
"河北省衡水市冀州市码头李镇烟雾村","码头李镇烟家雾村","13110088","2013-11-11 10:26:04","2013-11-11 10:26:04","中国银行","383","3400000.00","8877.284595"
"河北省衡水市冀州市徐家庄乡庄子头村","徐庄乡庄子头村","13110089","2013-11-11 10:52:49","2013-11-11 10:52:49","中国银行","357","9700000.00","27170.868347"
"河北省衡水市桃城区郑家河沿镇南沼村","桃城区河沿镇南沼村","13110090","2013-11-12 08:50:54","2013-11-12 08:50:54","中国银行","47","12300000.00","261702.127660"
"河北省衡水市深州市唐奉镇黄疃村","唐奉镇黄疃村","13110095","2013-11-20 11:43:41","2013-11-20 11:43:41","中国银行","215","1500000.00","6976.744186"
"河北省衡水市深州市护驾迟镇西王庄村","护迟镇西王庄","13110098","2013-11-20 14:46:05","2013-11-20 14:46:05","中国银行","134","1780000.00","13283.582090"
"河北省衡水市深州市唐奉镇","唐奉镇大疃新村","13110099","2013-11-20 14:50:43","2013-11-20 14:50:43","中国银行","702","3490000.00","4971.509972"
"河北省衡水市深州市大冯营乡中李村","大冯营乡中李村","13110103","2013-11-21 09:16:44","2013-11-21 09:16:44","中国银行","588","4690000.00","7976.190476"
"河北省衡水市阜城县漫河乡许家铺村","衡水阜城县漫河乡许家铺村","13110108","2013-12-05 16:17:04","2013-12-05 16:17:04","中国银行","451","7040000.00","15609.756098"
"河北省衡水市深州市深州镇礼门寺村","深州镇礼门寺村","13110111","2013-12-05 16:55:23","2013-12-05 16:55:23","中国银行","205","2720000.00","13268.292683"
"河北省衡水市深州市唐奉镇里边营村","唐奉镇里边营","13110112","2013-12-05 17:02:14","2013-12-05 17:02:14","中国银行","201","2540000.00","12636.815920"
"河北省衡水市深州市东安庄乡西阳台村","衡水深州西阳台","13110114","2013-12-09 16:07:43","2013-12-09 16:07:43","中国银行","333","2580000.00","7747.747748"
"河北省衡水市深州市穆村乡庄火头村","穆村乡庄火头村","13110115","2013-12-09 16:35:39","2013-12-09 16:35:39","中国银行","511","7450000.00","14579.256360"
"河北省衡水市武强县北代乡张北召什村","衡水武强县北代乡张北召什村","13110116","2013-12-09 17:15:33","2013-12-09 17:15:33","中国银行","399","3620000.00","9072.681704"
"河北省沧州市盐山县千童镇南街村","盐山县千童镇南街村 ","13090001","2013-12-17 09:01:55","2013-12-17 09:01:55","中国银行","600","2190000.00","3650.000000"
"河北省衡水市枣强县唐林乡唐林村","唐林治江农资","13110117","2013-12-17 11:31:40","2013-12-17 11:31:40","中国银行","99","10000.00","101.010101"
"河北省衡水市桃城区邓家庄乡大葛村","衡水桃城区大葛村","13110118","2013-12-20 13:53:39","2013-12-20 13:53:39","中国银行","129","1050000.00","8139.534884"
"河北省衡水市武邑县韩庄镇大赵村","韩庄镇大赵村","13110119","2013-12-20 14:05:42","2013-12-20 14:05:42","中国银行","309","730000.00","2362.459547"
"河北省衡水市武邑县肖桥头镇青冢村","桥头镇青塚村","13110120","2013-12-25 15:56:11","2013-12-25 15:56:11","中国银行","156","470000.00","3012.820513"
"河北省衡水市冀州市冀州镇黄沙村","冀州镇黄沙村","13110123","2013-12-26 10:59:56","2013-12-26 10:59:56","中国银行","678","3380000.00","4985.250737"
"河北省张家口市蔚县宋家庄镇上苏庄村","蔚县宋家庄镇上苏庄村","13070001","2013-12-26 11:53:05","2013-12-26 11:53:05","中国银行","370","900000.00","2432.432432"
"河北省张家口市蔚县代王城镇张中堡村","蔚县代王城镇张中堡村","13070002","2013-12-26 13:52:29","2013-12-26 13:52:29","中国银行","659","4660000.00","7071.320182"
"河北省沧州市盐山县圣佛镇西圣佛村","盐山县圣佛镇西圣佛村","13090002","2013-12-26 16:08:29","2013-12-26 16:08:29","中国银行","2219","9730000.00","4384.858044"
"河北省沧州市泊头市王武庄乡王武庄村","泊头市王武镇王武村","13090004","2013-12-27 13:48:47","2013-12-27 13:48:47","中国银行","667","8730000.00","13088.455772"
"河北省沧州市东光县于桥乡王喇村","任丘市北汉乡前桐梨村","13090007","2013-12-27 14:18:56","2013-12-27 14:18:56","中国银行","143","470000.00","3286.713287"
"河北省沧州市任邱市苟各庄镇郑召村","任丘市苟各庄镇郑召村","13090008","2013-12-27 14:38:31","2013-12-27 14:38:31","中国银行","173","3040000.00","17572.254335"
"河北省沧州市沧县旧州镇东庞家河村","沧县旧州镇东庞河村   ","13090009","2013-12-27 14:58:44","2013-12-27 14:58:44","中国银行","253","1310000.00","5177.865613"
"河北省沧州市河间市瀛州镇林豆万村","河间市瀛州镇林豆万村","13090010","2013-12-27 15:21:49","2013-12-27 15:21:49","中国银行","339","1140000.00","3362.831858"
"河北省张家口市蔚县北水泉镇北马圈村","蔚县北水泉镇北马圈村","13070003","2013-12-31 11:34:51","2013-12-31 11:34:51","中国银行","572","260000.00","454.545455"
"河北省邯郸市永年县西苏乡方头固村","永年县西苏乡方头固村","13040005","2014-01-01 22:01:50","2014-01-01 22:01:50","中国银行","244","3130000.00","12827.868852"
"河北省邯郸市永年县西苏乡双陵村","永年县西苏乡双陵村","13040006","2014-01-01 22:02:37","2014-01-01 22:02:37","中国银行","1120","9640000.00","8607.142857"
"河北省沧州市孟村回族自治县牛进庄乡塔上村","孟村县牛进庄乡塔上村","13090013","2014-01-01 22:44:38","2014-01-01 22:44:38","中国银行","292","3540000.00","12123.287671"
"河北省沧州市孟村回族自治县宋庄子乡东宋村","孟村县宋庄子乡东宋村","13090014","2014-01-01 23:08:05","2014-01-01 23:08:05","中国银行","289","3460000.00","11972.318339"
"河北省沧州市南皮县南皮镇西街村","南皮县寨子镇西街村","13090015","2014-01-01 23:16:23","2014-01-01 23:16:23","中国银行","1364","15900000.00","11656.891496"
"安徽省滁州市明光市张八岭镇白米山农场四分场","明光市三界镇三界村福乐家便利店","34110001","2014-01-02 10:47:43","2014-01-02 10:47:43","建设银行","328","1106521.97","3373.542591"
"河北省沧州市孟村回族自治县宋庄子乡张院村","孟村县宋庄子乡张院村","13090016","2014-01-02 11:14:08","2014-01-02 11:14:08","中国银行","147","1130000.00","7687.074830"
"河北省沧州市盐山县小营乡小左村","盐山县小庄乡南徐小庄村","13090017","2014-01-02 13:19:38","2014-01-02 13:19:38","中国银行","493","1270000.00","2576.064909"
"河北省沧州市青县农场虚拟乡三分场虚拟村","青县国营农场第三分场","13090018","2014-01-02 13:51:20","2014-01-02 13:51:20","中国银行","2418","9700000.00","4011.579818"
"河北省沧州市青县清州镇罗家店村","青县清州镇罗家店村","13090019","2014-01-02 15:04:09","2014-01-02 15:04:09","中国银行","2597","8900000.00","3427.031190"
"河北省沧州市青县上伍乡欧辛庄村","青县欧辛庄村","13090022","2014-01-04 00:08:01","2014-01-04 00:08:01","中国银行","2680","6280000.00","2343.283582"
"河北省沧州市青县上伍乡清和庄村","青县上伍乡清和庄村","13090023","2014-01-04 00:13:25","2014-01-04 00:13:25","中国银行","3521","2340000.00","664.583925"
"河北省沧州市青县金牛镇觉道庄村","青县金牛镇觉道庄村","13090024","2014-01-04 00:20:48","2014-01-04 00:20:48","中国银行","3876","1250000.00","322.497420"
"河北省沧州市青县木门店镇崇仙村","青县崇仙","13090025","2014-01-04 00:28:07","2014-01-04 00:28:07","中国银行","3262","3490000.00","1069.895769"
"河北省沧州市献县河城街镇小屯村","献县河城街镇小屯村","13090026","2014-01-04 10:02:06","2014-01-04 10:02:06","中国银行","710","4520000.00","6366.197183"
"河北省沧州市黄骅市常郭乡李子札村","黄骅市常郭镇李子札村","13090027","2014-01-04 10:03:36","2014-01-04 10:03:36","中国银行","1348","30490000.00","22618.694362"
"河北省沧州市黄骅市港城开发区新村乡冯家堡村","沧州市渤海新区冯家堡村","13090028","2014-01-04 10:04:56","2014-01-04 10:04:56","中国银行","214","60300000.00","281775.700935"
"河北省沧州市青县清州镇耿官屯村","青县清州镇耿官屯村","13090029","2014-01-04 15:27:29","2014-01-04 15:27:29","中国银行","4966","33610000.00","6768.022553"
"河北省邯郸市武安市石洞乡青烟寺村","武安市石洞乡青烟寺村","13040007","2014-01-06 00:09:26","2014-01-06 00:09:26","中国银行","70","1400000.00","20000.000000"
"河北省邯郸市峰峰矿区临水镇西泉头村","峰峰矿区临水镇西泉头","13040008","2014-01-06 08:48:28","2014-01-06 08:48:28","中国银行","1173","31390000.00","26760.443308"
"河北省邯郸市成安县商城镇秦连庄村","成安县商城镇秦连庄","13040009","2014-01-06 08:49:43","2014-01-06 08:49:43","中国银行","246","530000.00","2154.471545"
"河北省衡水市桃城区彭杜村乡刘家南田村","桃城区彭杜乡刘家南田村","13110124","2014-01-07 14:31:24","2014-01-07 14:31:24","中国银行","257","9380000.00","36498.054475"
"河北省沧州市海兴县辛集镇辛集村","海兴县辛集镇辛集村","13090030","2014-01-08 10:50:50","2014-01-08 10:50:50","中国银行","667","9660000.00","14482.758621"
"河北省衡水市冀州市徐家庄乡北褚宜村","徐庄乡北褚宜村","13110125","2014-01-08 14:41:25","2014-01-08 14:41:25","中国银行","402","1970000.00","4900.497512"
"河北省衡水市冀州市南午村镇赵家伯舍村","南午村镇赵伯舍村","13110127","2014-01-08 14:48:59","2014-01-08 14:48:59","中国银行","370","3290000.00","8891.891892"
"河北省衡水市冀州市徐家庄乡东千家村","徐庄乡东千村","13110128","2014-01-08 14:51:20","2014-01-08 14:51:20","中国银行","504","9250000.00","18353.174603"
"河北省衡水市冀州市南午村镇大伯舍村","南午村镇大伯舍村","13110129","2014-01-08 14:52:48","2014-01-08 14:52:48","中国银行","251","1770000.00","7051.792829"
"河北省衡水市冀州市冀州镇郭庄村","官道李镇圭庄村","13110130","2014-01-08 14:53:45","2014-01-08 14:53:45","中国银行","146","1500000.00","10273.972603"
"河北省衡水市冀州市官道李镇范家庄村","官道李镇范家庄村","13110131","2014-01-08 14:54:51","2014-01-08 14:54:51","中国银行","548","14910000.00","27208.029197"
"河北省衡水市冀州市冀州镇宋家寨村","冀州镇宋家寨村","13110132","2014-01-08 14:55:51","2014-01-08 14:55:51","中国银行","208","3120000.00","15000.000000"
"河北省衡水市冀州市北漳淮乡西南王村","北漳淮乡西南王村","13110133","2014-01-08 14:57:01","2014-01-08 14:57:01","中国银行","493","4290000.00","8701.825558"
"河北省衡水市冀州市南午村镇燕家庄村","南午村镇燕家庄","13110134","2014-01-08 16:33:28","2014-01-08 16:33:28","中国银行","188","2050000.00","10904.255319"
"河北省衡水市冀州市小寨乡小寨村","小寨乡小寨村","13110135","2014-01-08 16:36:47","2014-01-08 16:36:47","中国银行","359","1070000.00","2980.501393"
"河北省衡水市饶阳县大尹村镇大王庄村","饶阳县大尹村镇大王庄村","13110138","2014-01-08 16:52:56","2014-01-08 16:52:56","中国银行","516","2150000.00","4166.666667"
"河北省衡水市饶阳县五公镇五公村","饶阳县五公镇五公村","13110139","2014-01-08 16:53:56","2014-01-08 16:53:56","中国银行","318","4170000.00","13113.207547"
"河北省衡水市饶阳县留楚乡大齐村","饶阳县留楚乡大齐村","13110140","2014-01-08 16:56:29","2014-01-08 16:56:29","中国银行","333","11490000.00","34504.504505"
"河北省衡水市饶阳县留楚乡合我村","饶阳县留楚乡合我村","13110141","2014-01-08 16:57:15","2014-01-08 16:57:15","中国银行","63","750000.00","11904.761905"
"河北省衡水市景县北留智镇赵桥村","景县北留智镇赵桥村","13110143","2014-01-08 18:21:26","2014-01-08 18:21:26","中国银行","178","180000.00","1011.235955"
"河北省衡水市枣强县枣强镇崔村铺村","枣强镇崔村铺","13110144","2014-01-08 19:10:54","2014-01-08 19:10:54","中国银行","490","17170000.00","35040.816327"
"河北省衡水市枣强县张秀屯乡大张庄村","张秀屯镇大张庄村","13110084","2013-11-07 13:53:04","2013-11-07 13:53:04","中国银行","423","11990000.00","28345.153664"
"河北省沧州市孟村回族自治县孟村镇民族大街社区","孟村县孟村镇自来屯北街","13090032","2014-01-09 19:23:02","2014-01-09 19:23:02","中国银行","349","3770000.00","10802.292264"
"河北省沧州市黄骅市羊三木乡刘皮庄村","黄骅市羊三木乡刘皮庄村","13090033","2014-01-09 19:31:01","2014-01-09 19:31:01","中国银行","525","3070000.00","5847.619048"
"河北省邯郸市磁县磁州镇张庄村","磁县磁州镇张庄村","13040011","2014-01-09 22:26:34","2014-01-09 22:26:34","中国银行","240","7300000.00","30416.666667"
"河北省邯郸市磁县西固义乡徐家沟二街村","磁县西固义乡徐家沟二村","13040012","2014-01-09 22:27:12","2014-01-09 22:27:12","中国银行","417","33850000.00","81175.059952"
"河北省沧州市泊头市寺门村镇韩集村","泊头市寺门村镇韩集村","13090034","2014-01-10 09:48:39","2014-01-10 09:48:39","中国银行","216","2000000.00","9259.259259"
"河北省沧州市青县上伍乡小许庄村","青县上伍乡小许庄村","13090037","2014-01-10 21:34:55","2014-01-10 21:34:55","中国银行","2464","1460000.00","592.532468"
"河北省沧州市青县清州镇泉流庄村","青县清州镇泉流庄村","13090038","2014-01-10 21:55:00","2014-01-10 21:55:00","中国银行","2385","10280000.00","4310.272537"
"河北省沧州市任邱市莫州镇大临河村","任丘市莫州镇大临河村","13090039","2014-01-10 22:02:53","2014-01-10 22:02:53","中国银行","32","0.00","0.000000"
"河北省沧州市东光县找王镇大曹庄村","东光县找王镇大曹村 ","13090040","2014-01-11 11:45:02","2014-01-11 11:45:02","中国银行","1872","6000000.00","3205.128205"
"河北省邯郸市邯郸县河沙镇镇南泊村","邯郸县河砂镇南泊村","13040013","2014-01-14 13:13:38","2014-01-14 13:13:38","中国银行","980","11760000.00","12000.000000"
"河北省沧州市吴桥县安陵镇南魏村","吴桥县安陵镇南魏村","13090042","2014-01-15 23:16:01","2014-01-15 23:16:01","中国银行","436","5160000.00","11834.862385"
"河北省沧州市黄骅市滕庄子乡朱里口村","黄骅市滕庄子朱里口","13090043","2014-01-15 23:25:32","2014-01-15 23:25:32","中国银行","776","6110000.00","7873.711340"
"河北省沧州市沧县汪家铺乡杨家桥村","沧县汪家铺乡杨桥村","13090044","2014-01-15 23:34:05","2014-01-15 23:34:05","中国银行","462","4010000.00","8679.653680"
"河北省邯郸市临漳县张村集乡黄开河村","临漳县张村集乡黄开河村","13040016","2014-01-16 07:55:55","2014-01-16 07:55:55","中国银行","525","1200000.00","2285.714286"
"河北省衡水市冀州市小寨乡北大方村","小寨乡北大方村","13110145","2014-01-16 09:54:45","2014-01-16 09:54:45","中国银行","72","2050000.00","28472.222222"
"河北省沧州市海兴县青锋农场虚拟村","海兴县青锋农场","13090045","2014-01-17 10:32:25","2014-01-17 10:32:25","中国银行","321","7620000.00","23738.317757"
"河北省衡水市饶阳县留楚乡北空城村","饶阳县合方区北空城村","13110146","2014-01-17 11:46:54","2014-01-17 11:46:54","中国银行","720","900000.00","1250.000000"
"河北省衡水市深州市东安庄乡西安庄一村","东安庄乡西安庄村","13110147","2014-01-17 13:23:22","2014-01-17 13:23:22","中国银行","733","8560000.00","11678.035471"
"安徽省滁州市定远县七里塘乡孙集村","杨开锋通讯服务部","34110003","2014-01-18 09:54:00","2014-01-18 09:54:00","建设银行","295","59400.21","201.356644"
"河北省沧州市黄骅市官庄乡吕郭庄村","黄骅市官庄乡吕郭庄村","13090046","2014-01-19 23:29:05","2014-01-19 23:29:05","中国银行","226","60000.00","265.486726"
"河北省沧州市南皮县潞灌乡焦山寺村","南皮县潞灌乡焦山寺村","13090047","2014-01-19 23:45:55","2014-01-19 23:45:55","中国银行","570","5250000.00","9210.526316"
"河北省沧州市南皮县潞灌乡凤翔村","南皮县潞灌乡凤翔村","13090048","2014-01-26 00:00:00","2014-01-19 23:58:15","中国银行","546","4010000.00","7344.322344"
"河北省邯郸市邯山区北张庄镇大隐豹村","邯郸县北张庄镇大隐豹村","13040017","2014-01-20 21:22:05","2014-01-20 21:22:05","中国银行","581","2170000.00","3734.939759"
"河北省沧州市任邱市开发区管理委员会八里屯村","开发区八里屯助农取款点","13090049","2014-01-22 09:35:51","2014-01-22 09:35:51","中国银行","668","48010000.00","71871.257485"
"河北省沧州市沧县仵龙堂乡王官屯村","沧县仵龙堂乡王官屯村                    ","13090050","2014-01-23 13:36:48","2014-01-23 13:36:48","中国银行","106","1730000.00","16320.754717"
"河北省邯郸市成安县商城镇义井庄村","成安县商城镇义井庄","13040020","2014-01-24 08:38:49","2014-01-24 08:38:49","中国银行","173","630000.00","3641.618497"
"河北省沧州市青县清州镇刘缺屯村","青县清州镇刘缺屯村","13090051","2014-01-24 14:06:09","2014-01-24 14:06:09","中国银行","3924","4250000.00","1083.078491"
"河北省邯郸市磁县时村营乡时村营村","磁县时村营乡时村营村","13040023","2014-01-24 16:12:16","2014-01-24 16:12:16","中国银行","1061","5650000.00","5325.164939"
"河北省邯郸市磁县讲武城镇申庄村","磁县申庄乡申庄村","13040025","2014-01-24 20:46:42","2014-01-24 20:46:42","中国银行","524","13660000.00","26068.702290"
"河北省邯郸市磁县花官营乡东城营村","磁县花官营镇花官营村","13040026","2014-01-24 20:47:42","2014-01-24 20:47:42","中国银行","1447","13910000.00","9612.992398"
"河北省沧州市泊头市洼里王镇贾庄村","泊头市郝村镇贾庄村","13090053","2014-01-24 23:18:24","2014-01-24 23:18:24","中国银行","409","5410000.00","13227.383863"
"河北省沧州市泊头市文庙镇滑庄村","泊头市文庙镇滑庄村","13090055","2014-01-24 23:33:09","2014-01-24 23:33:09","中国银行","429","330000.00","769.230769"
"河北省沧州市任邱市苟各庄镇枣林庄二村","任丘市苟各庄镇枣林庄村","13090056","2014-01-24 23:38:14","2014-01-24 23:38:14","中国银行","223","3050000.00","13677.130045"
"河北省沧州市孟村回族自治县宋庄子乡东姜官屯村","孟村县宋庄子东姜官屯","13090057","2014-01-24 23:42:24","2014-01-24 23:42:24","中国银行","636","15470000.00","24323.899371"
"河北省沧州市任邱市吕公堡镇毕村","任丘市吕公堡镇毕村","13090058","2014-01-24 23:48:07","2014-01-24 23:48:07","中国银行","166","810000.00","4879.518072"
"河北省沧州市沧县风化店乡大白头村","沧县风化店乡大白头村","13090059","2014-01-24 23:52:51","2014-01-24 23:52:51","中国银行","347","2870000.00","8270.893372"
"河北省沧州市孟村回族自治县新县镇大堤东村","孟村县新县镇堤东村","13090062","2014-01-25 19:56:59","2014-01-25 19:56:59","中国银行","178","500000.00","2808.988764"
"河北省沧州市黄骅市官庄乡孔韩庄村","中捷产业园区孔家庄","13090064","2014-01-25 20:13:15","2014-01-25 20:13:15","中国银行","593","20020000.00","33760.539629"
"河北省沧州市青县马厂镇王维屯村","青县马厂镇王维屯村","13090065","2014-01-25 20:19:09","2014-01-25 20:19:09","中国银行","3408","1290000.00","378.521127"
"河北省沧州市吴桥县铁城镇双刘店村","吴桥县铁城镇双刘店村","13090066","2014-01-25 21:00:13","2014-01-25 21:00:13","中国银行","330","7720000.00","23393.939394"
"河北省沧州市青县马厂镇刘世印屯村","青县马厂镇刘世印屯","13090068","2014-01-26 00:06:41","2014-01-26 00:06:41","中国银行","4750","8800000.00","1852.631579"
"河北省沧州市黄骅市国营中捷农场虚拟乡奶牛队村","黄骅市南排河镇居委会","13090069","2014-01-26 10:55:49","2014-01-26 10:55:49","中国银行","1453","13980000.00","9621.472815"
"河北省沧州市黄骅市黄骅镇后街村","黄骅市黄骅镇后街村","13090070","2014-01-26 11:00:46","2014-01-26 11:00:46","中国银行","345","13780000.00","39942.028986"
"河北省沧州市孟村回族自治县宋庄子乡许村","孟村县宋庄子乡许村","13090071","2014-01-26 14:23:54","2014-01-26 14:23:54","中国银行","562","2720000.00","4839.857651"
"河北省张家口市蔚县代王城镇石家庄村","蔚县代王城镇石家庄村","13070005","2014-01-26 21:57:03","2014-01-26 21:57:03","中国银行","228","970000.00","4254.385965"
"河北省邯郸市成安县长巷乡封边董村","成安县长苑镇封边董","13040029","2014-01-27 10:34:01","2014-01-27 10:34:01","中国银行","710","7410000.00","10436.619718"
"河北省邯郸市成安县长巷乡吴村","成安县长巷乡吴村","13040030","2014-01-27 10:35:23","2014-01-27 10:35:23","中国银行","900","9740000.00","10822.222222"
